date,monthly_avg_maxtemp,monthly_avg_mintemp,monthly_avg_totalSnow_cm,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_WindChillC,monthly_avg_WindGustKmph,monthly_avg_cloudcover,monthly_avg_humidity,monthly_avg_precipMM,monthly_avg_tempC,monthly_avg_visibility,monthly_avg_windspeedKmph
1,1.2903225806451613,-2.129032258064516,0.06129032258064517,-4.838709677419355,-0.3225806451612903,-4.838709677419355,26.161290322580644,67.16129032258064,82.80645161290323,0.2903225806451613,1.2903225806451613,8.32258064516129,16.612903225806452
2,-1.5357142857142858,-5.035714285714286,0.03571428571428572,-7.607142857142857,-3.4285714285714284,-7.607142857142857,17.071428571428573,64.0,76.03571428571429,0.06785714285714287,-1.5357142857142858,9.75,11.642857142857142
3,3.225806451612903,-2.903225806451613,0.07096774193548387,-4.032258064516129,-0.0967741935483871,-4.032258064516129,21.0,61.32258064516129,73.2258064516129,0.22258064516129034,3.225806451612903,9.096774193548388,14.03225806451613
4,17.433333333333334,6.733333333333333,0.0,10.366666666666667,11.9,10.366666666666667,24.2,31.866666666666667,72.46666666666667,0.5066666666666667,17.433333333333334,9.7,15.733333333333333
5,21.483870967741936,10.451612903225806,0.0,15.419354838709678,16.322580645161292,15.419354838709678,20.93548387096774,23.35483870967742,73.2258064516129,0.9193548387096774,21.483870967741936,9.64516129032258,13.129032258064516
6,22.233333333333334,11.9,0.0,17.1,17.866666666666667,17.1,18.133333333333333,29.866666666666667,72.3,0.3966666666666666,22.233333333333334,9.466666666666667,11.9
7,24.483870967741936,14.96774193548387,0.0,19.903225806451612,20.419354838709676,19.612903225806452,19.096774193548388,33.354838709677416,75.96774193548387,1.5838709677419358,24.483870967741936,9.35483870967742,12.225806451612904
8,24.677419354838708,15.161290322580646,0.0,20.06451612903226,20.419354838709676,19.806451612903224,16.806451612903224,24.032258064516128,69.96774193548387,0.9419354838709676,24.677419354838708,9.806451612903226,10.67741935483871
9,20.2,11.466666666666667,0.0,14.733333333333333,15.766666666666667,14.733333333333333,21.033333333333335,32.6,69.23333333333333,0.45999999999999996,20.2,9.533333333333333,13.233333333333333
10,14.451612903225806,6.967741935483871,0.0,8.193548387096774,10.064516129032258,8.193548387096774,24.612903225806452,34.58064516129032,71.64516129032258,0.27096774193548384,14.451612903225806,9.903225806451612,15.290322580645162
11,6.266666666666667,1.6666666666666667,0.010000000000000002,0.7666666666666667,3.7,0.7666666666666667,21.133333333333333,40.56666666666667,80.6,0.08333333333333334,6.266666666666667,9.4,12.8
12,1.8387096774193548,-1.096774193548387,0.17096774193548384,-3.6129032258064515,0.45161290322580644,-3.6129032258064515,24.096774193548388,81.90322580645162,88.58064516129032,0.45806451612903215,1.8387096774193548,8.419354838709678,15.258064516129032
